name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
idli,"split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,All State,South
kanji,"carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,other,snack,Kerala,South
kaara kozhambu,"sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South
keerai kootu,"moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South
keerai masiyal,"urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South
keerai sadam,"greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South
keerai poriyal,"amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South
beef fry,"beef, coconut, garam masala, curry leaves, green chilies, chili powder",non-vegetarian,10,60,spicy,main course,Kerala,South
kootu,"chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South
kos kootu,"moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South
koshambri,"moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South
kothamali sadam,"chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South
kuzhakkattai,"sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South
kuzhambu,"pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South
masala dosa,"chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,All State,South
pachadi,"coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,other,main course,All State,South
paniyaram,"yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,other,main course,Tamil Nadu,South
papadum,"lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South
paravannam,"raw rice,  jaggery, milk",vegetarian,-1,-1,spicy,main course,Kerala,South
payasam,"rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,All State,South
paruppu sadam,"arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,other,main course,Tamil Nadu,South
pesarattu,"green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South
poriyal,"chana dal, urad dal, beans, coconut, mustard",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South
puli sadam,"urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,other,main course,Tamil Nadu,South
rasam,"tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,All State,South
puttu,"brown rice flour, sugar, grated coconut",vegetarian,495,40,other,main course,Kerala,South
sambar,"pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,All State,South
sandige,"thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,other,main course,Karnataka,South
sevai,"sevai, parboiled rice, steamer",vegetarian,120,30,other,main course,All State,South
thayir sadam,"urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,other,main course,Tamil Nadu,South
theeyal,"coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,other,main course,Kerala,South
uttapam,"chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,All State,South
vada,"urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,All State,South
chicken varuval,"meat curry powder, chicken chunks, ginger, tomato, cinnamon",non-vegetarian,10,35,spicy,main course,Tamil Nadu,South
upma,"chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,All State,All Region
amti,"kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West
zunka,"gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West
kolim jawla,"baingan, fish, coconut oil, fresh coconut, ginger",non-vegetarian,-1,-1,spicy,main course,Maharashtra,West
saath,"urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West
bajri no rotlo,"wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West
coconut vadi,"condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West
bhakri,"jowar flour, sesame seeds",vegetarian,20,25,other,main course,Maharashtra,West
bombil fry,"bombay duck, malvani masala, rice flour, bombay rava, green chilies",non-vegetarian,-1,-1,spicy,main course,Maharashtra,West
chakali,"rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,Maharashtra,West
chevdo,"citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,Gujarat,West
chorafali,"urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,Gujarat,West
copra paak,"condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,other,main course,Gujarat,West
daal dhokli,"whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West
kutchi dabeli,"pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,spicy,snack,Gujarat,West
dahi vada,"urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,other,snack,Maharashtra,West
dalithoy,"arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,other,main course,Maharashtra,West
dhokla,"rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West
dudhi halwa,"bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,Gujarat,West
gatta curry,"yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,Rajasthan,West
gud papdi,"wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,sweet,dessert,Gujarat,West
ghooghra,"dry fruits, semolina, all purpose flour",vegetarian,-1,-1,spicy,snack,Gujarat,West
handwo,"bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,spicy,snack,Gujarat,West
halvasan,"whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,-1,-1,sweet,dessert,Gujarat,West
jeera aloo,"green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,Gujarat,West
kansar,"wheat flour, cashews, rapeseed oil",vegetarian,10,40,other,main course,Gujarat,West
keri no ras,"mango, sugar",vegetarian,10,10,sour,main course,Gujarat,West
khakhra,"whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,Gujarat,West
khandvi,"green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,spicy,snack,Gujarat,West
kombdi vade,"rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,spicy,snack,Maharashtra,West
laapsi,"cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Madhya Pradesh,Central
koshimbir,"cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,spicy,main course,Maharashtra,West
methi na gota,"rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,Gujarat,West
mohanthal,"rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,5,45,sweet,dessert,Gujarat,West
muthiya,"bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West
patra,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,Gujarat,West
pav bhaji,"pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West
puri bhaji,"aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West
sabudana khichadi,"raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West
sev khamani,"khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West
sev tameta,"sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West
namakpara,"wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,snack,Gujarat,West
sukhdi,"whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West
surnoli,"rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,snack,Maharashtra,West
thalipeeth,"whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,Maharashtra,West
undhiyu,"sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,Gujarat,West
veg kolhapuri,"gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,Maharashtra,West
vindaloo,"chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non-vegetarian,10,40,spicy,main course,Goa,West
lilva kachori,"green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,30,6,spicy,snack,Gujarat,West
mag dhokli,"moong beans, jaggery, red chillies, oil, salt",vegetarian,-1,-1,spicy,snack,Gujarat,West
khichu,"rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,spicy,snack,Gujarat,West
thepla,"chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,snack,Gujarat,West
farsi puri,"semolina, clarified butter, oil, white flour, black pepper",vegetarian,-1,-1,other,snack,Gujarat,West
khaman,"yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,spicy,snack,Gujarat,West
turiya patra vatana sabji,"ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,Gujarat,West
churma ladoo,"whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,Rajasthan,West
cheera doi,"rice, mango, curd",vegetarian,-1,-1,sweet,dessert,West Bengal,East
gheela pitha,"sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,Assam,North East
khar,"raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,other,main course,Assam,North East
kumol sawul,"rice, eggs, carrot, beetroot",non-vegetarian,-1,-1,spicy,main course,Assam,North East
luchi,"maida, vegetable oil",vegetarian,20,30,other,main course,West Bengal,East
alu pitika,"potatoes, mustard oil, fish, green chillies",non-vegetarian,5,20,spicy,main course,Assam,North East
masor tenga,"ridge gourd, fish, lemon, tomatoes, mustard oil",non-vegetarian,15,25,spicy,main course,Assam,North East
bengena pitika,"brinjal, onions, salt, sesame seeds, coriander",vegetarian,-1,-1,other,main course,Assam,North East
bilahi maas,"potatoes, garam masala, tomatoes, mustard oil, bay leaf",non-vegetarian,10,20,other,main course,Assam,North East
black rice,"forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non-vegetarian,-1,-1,other,main course,Manipur,North East
bora sawul,"biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,-1,-1,spicy,main course,Assam,North East
brown rice,"brown rice, soy sauce, olive oil",vegetarian,15,25,other,main course,All State,All Region
chingri malai curry,"coconut milk, lobster, fresh green chilli, ginger, red onion",non-vegetarian,10,40,spicy,main course,West Bengal,East
goja,"baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,West Bengal,East
hando guri,"jaggery, raisins",vegetarian,-1,-1,sweet,dessert,Assam,North East
haq maas,"lamb, garam masala powder, curd, turmeric, bay leaf",non-vegetarian,20,40,spicy,main course,Assam,North East
chingri bhape,"coconut, prawns, curd, mustard seed, green chili",non-vegetarian,15,30,other,main course,West Bengal,East
kabiraji,"fish fillet, besan, lemon, mint, ginger",non-vegetarian,-1,-1,spicy,main course,West Bengal,East
khorisa,"fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,-1,-1,spicy,main course,Assam,North East
koldil chicken,"banana flower, chicken, green chili, mustard oil, lemon juice",non-vegetarian,-1,-1,spicy,main course,Assam,North East
konir dom,"aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non-vegetarian,-1,-1,spicy,main course,Assam,North East
koldil duck,"rice flour, mutton, banana, gram flour, olive oil, baking powder",non-vegetarian,-1,-1,spicy,main course,Assam,North East
masor koni,"fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non-vegetarian,-1,-1,spicy,main course,Assam,North East
mishti chholar dal,"chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East
pakhala,"curd, cooked rice, curry leaves, dry chilli",vegetarian,-1,-1,other,main course,Odisha,East
pani pitha,"tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,other,main course,Assam,North East
payokh,"basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,-1,-1,sweet,dessert,Assam,North East
prawn malai curry,"coconut milk, prawns, garlic, turmeric, sugar",non-vegetarian,15,50,spicy,main course,West Bengal,East
red rice,"red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,-1,other,main course,All State,All Region
shukto,"green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East
til pitha,"glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East
bebinca,"coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West
shufta,"cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,-1,-1,sweet,dessert,Jammu & Kashmir,North
mawa bati,"milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,Madhya Pradesh,Central
pinaca,"brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,-1,-1,sweet,dessert,Goa,West
